customer_id,risk_score,tenure,Retention_Strategy
100000,0.22323662912027056,84,Dedicated Account Manager
100001,0.4062841385284072,32,Exclusive Device Early Access
100002,0.2563566714409355,119,Dedicated Account Manager
100003,0.3434353997319559,73,Dedicated Account Manager
100004,0.18732815212746165,92,Dedicated Account Manager
100005,0.562589289873794,41,Exclusive Device Early Access
100006,0.5385387782211679,79,Dedicated Account Manager
100007,0.35705700647191807,79,Dedicated Account Manager
100008,0.476256086656377,72,Exclusive Device Early Access
100009,0.5180878055257447,71,Exclusive Device Early Access
100010,0.20250689627157706,84,Dedicated Account Manager
100011,0.5011250295805916,119,Dedicated Account Manager
100012,0.5947711045875015,104,Dedicated Account Manager
100013,0.3681947260278855,38,Exclusive Device Early Access
100014,0.2994554702359295,106,Dedicated Account Manager
100015,0.4620093296112254,42,Exclusive Device Early Access
100016,0.5225272533824927,30,Exclusive Device Early Access
100017,0.5919629888803131,24,Exclusive Device Early Access
100018,0.3110783773078517,84,Dedicated Account Manager
100019,0.30928051886246405,56,Automated Retention Voucher
100020,0.43448195451911703,99,Dedicated Account Manager
100021,0.3660020270315573,100,Dedicated Account Manager
100022,0.37596934338966687,65,Exclusive Device Early Access
100023,0.43379927239468385,26,Exclusive Device Early Access
100024,0.28653361640456504,14,Automated Retention Voucher
100025,0.31147801738944003,115,Dedicated Account Manager
100026,0.5986115743397181,37,Exclusive Device Early Access
100027,0.21546363777544286,2,Automated Retention Voucher
100028,0.3617812081232707,48,Exclusive Device Early Access
100029,0.3489418644005218,96,Dedicated Account Manager
100030,0.32934744900391777,11,Automated Retention Voucher
100031,0.38459465262361453,83,Dedicated Account Manager
100032,0.37643145826361885,50,Exclusive Device Early Access
100033,0.3772902929060539,108,Dedicated Account Manager
100034,0.27009119397145626,54,Automated Retention Voucher
100035,0.5558852810217404,63,Exclusive Device Early Access
100036,0.32120744112155053,55,Automated Retention Voucher
100037,0.24972244346931227,82,Dedicated Account Manager
100038,0.5974763819327842,9,Exclusive Device Early Access
100039,0.6164894622550781,6,Exclusive Device Early Access
100040,0.49277500515488515,70,Exclusive Device Early Access
100041,0.4147347841485826,47,Exclusive Device Early Access
100042,0.39916230006361364,20,Exclusive Device Early Access
100043,0.5222573786277249,92,Dedicated Account Manager
100044,0.5118878783614279,90,Dedicated Account Manager
100045,0.6324631051331996,13,Exclusive Device Early Access
100046,0.4108591796145816,22,Exclusive Device Early Access
